order_number,barcode,quantity,description,sku,location
WO-20077,012900695859,12,Poly mailer 10x13,SKU-1016,D-07-10
WO-20077,012456682297,1,Stretch wrap 18in,SKU-1004,D-04-10
WO-20077,012345678905,12,Blue widget 12-pack,SKU-1001,A-01-01
WO-20077,013085701502,4,Shelf label holder,SKU-1021,C-03-09
WO-20077,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20077,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20078,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20078,012456682297,6,Stretch wrap 18in,SKU-1004,D-04-10
WO-20079,012937696980,6,Void fill paper roll,SKU-1017,E-08-05
WO-20079,013159703760,6,Marker black (12),SKU-1023,E-05-11
WO-20079,012641687946,2,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20079,012826693595,6,Box cutter,SKU-1014,B-05-08
WO-20079,013307708289,12,Edge protector 2in,SKU-1027,C-09-03
WO-20080,012789692468,12,Safety glasses clear,SKU-1013,A-04-01
WO-20080,012567685682,1,Bubble mailer #2,SKU-1007,A-07-07
WO-20080,013418711673,1,Fragile tape 2in,SKU-1030,F-03-12
WO-20081,013233706021,12,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20081,013270707159,2,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20081,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20081,012826693595,2,Box cutter,SKU-1014,B-05-08
WO-20081,012715690209,2,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20082,013344709416,12,Strapping buckle (1000),SKU-1028,D-01-10
WO-20082,012493683424,4,Cable ties 8in (100),SKU-1005,E-05-05
WO-20082,012863694722,6,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20082,012974698114,3,Pallet label sleeve,SKU-1018,F-09-12
WO-20082,012900695859,2,Poly mailer 10x13,SKU-1016,D-07-10
WO-20082,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20082,012715690209,4,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20082,013307708289,2,Edge protector 2in,SKU-1027,C-09-03
WO-20083,012382680039,1,Red widget 12-pack,SKU-1002,B-02-08
WO-20083,012715690209,6,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20083,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20083,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20083,013159703760,12,Marker black (12),SKU-1023,E-05-11
WO-20083,012789692468,3,Safety glasses clear,SKU-1013,A-04-01
WO-20083,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20084,012456682297,1,Stretch wrap 18in,SKU-1004,D-04-10
WO-20084,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20084,012863694722,6,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20084,012345678905,2,Blue widget 12-pack,SKU-1001,A-01-01
WO-20084,013196704898,3,Clipboard letter,SKU-1024,F-06-06
WO-20084,012493683424,4,Cable ties 8in (100),SKU-1005,E-05-05
WO-20084,012826693595,1,Box cutter,SKU-1014,B-05-08
WO-20084,013085701502,3,Shelf label holder,SKU-1021,C-03-09
WO-20085,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20085,013085701502,2,Shelf label holder,SKU-1021,C-03-09
WO-20085,013159703760,2,Marker black (12),SKU-1023,E-05-11
WO-20085,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20085,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20085,012974698114,4,Pallet label sleeve,SKU-1018,F-09-12
WO-20085,012382680039,1,Red widget 12-pack,SKU-1002,B-02-08
WO-20086,012863694722,2,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20086,012530684551,1,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20087,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20088,012752691337,4,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20088,012826693595,1,Box cutter,SKU-1014,B-05-08
WO-20088,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20088,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
WO-20088,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20089,013048700375,6,Hand truck wheel,SKU-1020,B-02-02
WO-20089,013122702639,2,Barcode scanner holster,SKU-1022,D-04-04
WO-20089,012604686818,6,Bubble mailer #5,SKU-1008,B-08-02
WO-20089,012900695859,2,Poly mailer 10x13,SKU-1016,D-07-10
WO-20089,013011699248,1,Dunnage air pillows,SKU-1019,A-01-07
WO-20089,012493683424,6,Cable ties 8in (100),SKU-1005,E-05-05
WO-20089,013344709416,2,Strapping buckle (1000),SKU-1028,D-01-10
WO-20090,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20090,012863694722,4,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20090,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20091,013344709416,3,Strapping buckle (1000),SKU-1028,D-01-10
WO-20091,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20091,012567685682,2,Bubble mailer #2,SKU-1007,A-07-07
WO-20091,012789692468,1,Safety glasses clear,SKU-1013,A-04-01
WO-20091,012900695859,4,Poly mailer 10x13,SKU-1016,D-07-10
WO-20091,012456682297,2,Stretch wrap 18in,SKU-1004,D-04-10
WO-20091,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
WO-20091,013307708289,1,Edge protector 2in,SKU-1027,C-09-03
WO-20092,013307708289,2,Edge protector 2in,SKU-1027,C-09-03
WO-20092,013381710543,2,Desiccant pack (50),SKU-1029,E-02-05
WO-20092,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20092,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20092,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20092,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
WO-20092,013048700375,2,Hand truck wheel,SKU-1020,B-02-02
WO-20092,012752691337,6,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20093,013011699248,3,Dunnage air pillows,SKU-1019,A-01-07
WO-20094,012419681169,3,Packing tape 48mm,SKU-1003,C-03-03
WO-20094,013418711673,4,Fragile tape 2in,SKU-1030,F-03-12
WO-20094,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20095,012493683424,3,Cable ties 8in (100),SKU-1005,E-05-05
WO-20095,013270707159,12,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20095,012974698114,12,Pallet label sleeve,SKU-1018,F-09-12
WO-20095,013381710543,2,Desiccant pack (50),SKU-1029,E-02-05
WO-20096,012641687946,6,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20096,013418711673,2,Fragile tape 2in,SKU-1030,F-03-12
WO-20096,013307708289,3,Edge protector 2in,SKU-1027,C-09-03
WO-20097,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20097,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20098,013344709416,2,Strapping buckle (1000),SKU-1028,D-01-10
WO-20098,013270707159,12,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20098,012974698114,1,Pallet label sleeve,SKU-1018,F-09-12
WO-20098,012752691337,6,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20098,012419681169,3,Packing tape 48mm,SKU-1003,C-03-03
WO-20098,012789692468,2,Safety glasses clear,SKU-1013,A-04-01
WO-20098,012345678905,4,Blue widget 12-pack,SKU-1001,A-01-01
WO-20099,012456682297,12,Stretch wrap 18in,SKU-1004,D-04-10
WO-20099,013122702639,3,Barcode scanner holster,SKU-1022,D-04-04
WO-20099,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20099,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20099,012345678905,6,Blue widget 12-pack,SKU-1001,A-01-01
WO-20099,013048700375,2,Hand truck wheel,SKU-1020,B-02-02
WO-20100,012456682297,1,Stretch wrap 18in,SKU-1004,D-04-10
WO-20100,012493683424,2,Cable ties 8in (100),SKU-1005,E-05-05
WO-20100,012382680039,12,Red widget 12-pack,SKU-1002,B-02-08
WO-20100,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20100,012678689074,4,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20100,012900695859,6,Poly mailer 10x13,SKU-1016,D-07-10
WO-20100,013418711673,3,Fragile tape 2in,SKU-1030,F-03-12
WO-20101,013011699248,6,Dunnage air pillows,SKU-1019,A-01-07
WO-20101,013196704898,4,Clipboard letter,SKU-1024,F-06-06
WO-20101,013381710543,2,Desiccant pack (50),SKU-1029,E-02-05
WO-20101,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20101,012826693595,3,Box cutter,SKU-1014,B-05-08
WO-20101,013085701502,2,Shelf label holder,SKU-1021,C-03-09
WO-20101,012456682297,6,Stretch wrap 18in,SKU-1004,D-04-10
WO-20102,012604686818,3,Bubble mailer #5,SKU-1008,B-08-02
WO-20102,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20102,012752691337,4,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20102,012456682297,2,Stretch wrap 18in,SKU-1004,D-04-10
WO-20102,013122702639,2,Barcode scanner holster,SKU-1022,D-04-04
WO-20102,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20102,012974698114,6,Pallet label sleeve,SKU-1018,F-09-12
WO-20102,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20103,013085701502,3,Shelf label holder,SKU-1021,C-03-09
WO-20103,013048700375,2,Hand truck wheel,SKU-1020,B-02-02
WO-20103,012345678905,1,Blue widget 12-pack,SKU-1001,A-01-01
WO-20103,012382680039,2,Red widget 12-pack,SKU-1002,B-02-08
WO-20104,013307708289,12,Edge protector 2in,SKU-1027,C-09-03
WO-20104,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20105,013307708289,1,Edge protector 2in,SKU-1027,C-09-03
WO-20105,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20105,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20105,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20106,012974698114,1,Pallet label sleeve,SKU-1018,F-09-12
WO-20106,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20106,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20107,012345678905,2,Blue widget 12-pack,SKU-1001,A-01-01
WO-20107,012752691337,3,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20107,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20108,012641687946,4,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20108,012382680039,12,Red widget 12-pack,SKU-1002,B-02-08
WO-20108,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20109,012900695859,3,Poly mailer 10x13,SKU-1016,D-07-10
WO-20109,012863694722,12,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20110,012863694722,2,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20110,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20111,012863694722,4,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20111,013085701502,4,Shelf label holder,SKU-1021,C-03-09
WO-20111,012345678905,1,Blue widget 12-pack,SKU-1001,A-01-01
WO-20111,012382680039,6,Red widget 12-pack,SKU-1002,B-02-08
WO-20111,012900695859,6,Poly mailer 10x13,SKU-1016,D-07-10
WO-20112,013381710543,3,Desiccant pack (50),SKU-1029,E-02-05
WO-20112,012419681169,1,Packing tape 48mm,SKU-1003,C-03-03
WO-20113,012493683424,12,Cable ties 8in (100),SKU-1005,E-05-05
WO-20113,012641687946,3,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20114,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20114,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20114,012678689074,12,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20114,012863694722,2,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20114,013381710543,4,Desiccant pack (50),SKU-1029,E-02-05
WO-20114,013418711673,6,Fragile tape 2in,SKU-1030,F-03-12
WO-20114,012826693595,2,Box cutter,SKU-1014,B-05-08
WO-20115,012715690209,3,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20115,013307708289,4,Edge protector 2in,SKU-1027,C-09-03
WO-20115,012863694722,3,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20115,012789692468,2,Safety glasses clear,SKU-1013,A-04-01
WO-20115,012826693595,3,Box cutter,SKU-1014,B-05-08
WO-20115,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20115,012456682297,6,Stretch wrap 18in,SKU-1004,D-04-10
WO-20116,012419681169,1,Packing tape 48mm,SKU-1003,C-03-03
WO-20116,013307708289,1,Edge protector 2in,SKU-1027,C-09-03
WO-20117,012456682297,1,Stretch wrap 18in,SKU-1004,D-04-10
WO-20117,013196704898,12,Clipboard letter,SKU-1024,F-06-06
WO-20117,013381710543,12,Desiccant pack (50),SKU-1029,E-02-05
WO-20117,012752691337,3,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20117,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20117,012493683424,4,Cable ties 8in (100),SKU-1005,E-05-05
WO-20117,012974698114,3,Pallet label sleeve,SKU-1018,F-09-12
WO-20118,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20118,013196704898,12,Clipboard letter,SKU-1024,F-06-06
WO-20118,012382680039,2,Red widget 12-pack,SKU-1002,B-02-08
WO-20118,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20118,013048700375,6,Hand truck wheel,SKU-1020,B-02-02
WO-20118,013307708289,2,Edge protector 2in,SKU-1027,C-09-03
WO-20118,012752691337,1,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20119,013344709416,2,Strapping buckle (1000),SKU-1028,D-01-10
WO-20119,012974698114,4,Pallet label sleeve,SKU-1018,F-09-12
WO-20119,012752691337,12,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20119,012456682297,12,Stretch wrap 18in,SKU-1004,D-04-10
WO-20119,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20119,012641687946,2,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20120,012530684551,2,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20121,013418711673,1,Fragile tape 2in,SKU-1030,F-03-12
WO-20121,012715690209,4,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20121,012752691337,1,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20121,012345678905,1,Blue widget 12-pack,SKU-1001,A-01-01
WO-20121,012530684551,1,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20122,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20122,012937696980,4,Void fill paper roll,SKU-1017,E-08-05
WO-20123,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20123,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20123,012530684551,1,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20123,012752691337,1,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20123,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20123,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20123,013381710543,2,Desiccant pack (50),SKU-1029,E-02-05
WO-20124,013122702639,12,Barcode scanner holster,SKU-1022,D-04-04
WO-20124,012826693595,1,Box cutter,SKU-1014,B-05-08
WO-20124,012900695859,3,Poly mailer 10x13,SKU-1016,D-07-10
WO-20124,013048700375,4,Hand truck wheel,SKU-1020,B-02-02
WO-20124,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20124,013381710543,2,Desiccant pack (50),SKU-1029,E-02-05
WO-20124,012641687946,6,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20124,012567685682,12,Bubble mailer #2,SKU-1007,A-07-07
WO-20125,012382680039,2,Red widget 12-pack,SKU-1002,B-02-08
WO-20125,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20125,012789692468,2,Safety glasses clear,SKU-1013,A-04-01
WO-20125,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20125,012345678905,2,Blue widget 12-pack,SKU-1001,A-01-01
WO-20126,012715690209,4,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20126,012456682297,1,Stretch wrap 18in,SKU-1004,D-04-10
WO-20126,012345678905,1,Blue widget 12-pack,SKU-1001,A-01-01
WO-20126,012900695859,4,Poly mailer 10x13,SKU-1016,D-07-10
WO-20126,013196704898,12,Clipboard letter,SKU-1024,F-06-06
WO-20127,012937696980,3,Void fill paper roll,SKU-1017,E-08-05
WO-20127,012974698114,1,Pallet label sleeve,SKU-1018,F-09-12
WO-20127,013307708289,4,Edge protector 2in,SKU-1027,C-09-03
WO-20127,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20128,012345678905,4,Blue widget 12-pack,SKU-1001,A-01-01
WO-20128,012863694722,4,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20128,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20128,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20128,013011699248,4,Dunnage air pillows,SKU-1019,A-01-07
WO-20128,012826693595,1,Box cutter,SKU-1014,B-05-08
WO-20128,013270707159,3,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20129,013270707159,3,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20129,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20129,012863694722,4,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20130,012604686818,4,Bubble mailer #5,SKU-1008,B-08-02
WO-20130,012826693595,12,Box cutter,SKU-1014,B-05-08
WO-20131,012789692468,2,Safety glasses clear,SKU-1013,A-04-01
WO-20131,013344709416,3,Strapping buckle (1000),SKU-1028,D-01-10
WO-20132,012715690209,12,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20132,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20132,012530684551,12,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20132,012419681169,12,Packing tape 48mm,SKU-1003,C-03-03
WO-20133,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20133,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20133,012752691337,1,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20133,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20134,012567685682,1,Bubble mailer #2,SKU-1007,A-07-07
WO-20134,012530684551,1,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20134,013048700375,6,Hand truck wheel,SKU-1020,B-02-02
WO-20134,012493683424,6,Cable ties 8in (100),SKU-1005,E-05-05
WO-20134,013233706021,6,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20135,013344709416,6,Strapping buckle (1000),SKU-1028,D-01-10
WO-20135,013085701502,6,Shelf label holder,SKU-1021,C-03-09
WO-20135,012715690209,2,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20135,012493683424,2,Cable ties 8in (100),SKU-1005,E-05-05
WO-20135,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20135,012419681169,3,Packing tape 48mm,SKU-1003,C-03-03
WO-20136,012678689074,6,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20136,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20137,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20138,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20138,013344709416,12,Strapping buckle (1000),SKU-1028,D-01-10
WO-20139,012863694722,2,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20139,013011699248,3,Dunnage air pillows,SKU-1019,A-01-07
WO-20139,012974698114,6,Pallet label sleeve,SKU-1018,F-09-12
WO-20139,013270707159,12,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20139,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20139,012382680039,1,Red widget 12-pack,SKU-1002,B-02-08
WO-20139,013418711673,6,Fragile tape 2in,SKU-1030,F-03-12
WO-20140,013270707159,3,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20140,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20141,012382680039,6,Red widget 12-pack,SKU-1002,B-02-08
WO-20141,012604686818,6,Bubble mailer #5,SKU-1008,B-08-02
WO-20141,013159703760,12,Marker black (12),SKU-1023,E-05-11
WO-20142,012752691337,4,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20142,013418711673,4,Fragile tape 2in,SKU-1030,F-03-12
WO-20142,012678689074,3,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20143,013270707159,3,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20144,012715690209,12,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20144,012456682297,4,Stretch wrap 18in,SKU-1004,D-04-10
WO-20145,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20145,013196704898,3,Clipboard letter,SKU-1024,F-06-06
WO-20145,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20145,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20145,013418711673,3,Fragile tape 2in,SKU-1030,F-03-12
WO-20146,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20146,013159703760,2,Marker black (12),SKU-1023,E-05-11
WO-20146,013122702639,12,Barcode scanner holster,SKU-1022,D-04-04
WO-20146,012789692468,4,Safety glasses clear,SKU-1013,A-04-01
WO-20146,012493683424,3,Cable ties 8in (100),SKU-1005,E-05-05
WO-20147,013122702639,12,Barcode scanner holster,SKU-1022,D-04-04
WO-20147,013159703760,1,Marker black (12),SKU-1023,E-05-11
WO-20147,013307708289,4,Edge protector 2in,SKU-1027,C-09-03
WO-20148,012345678905,6,Blue widget 12-pack,SKU-1001,A-01-01
WO-20148,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20148,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20148,012530684551,1,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20148,012567685682,1,Bubble mailer #2,SKU-1007,A-07-07
WO-20148,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20149,013344709416,12,Strapping buckle (1000),SKU-1028,D-01-10
WO-20149,013270707159,12,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20149,012456682297,1,Stretch wrap 18in,SKU-1004,D-04-10
WO-20149,012937696980,3,Void fill paper roll,SKU-1017,E-08-05
WO-20149,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20150,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20150,012530684551,6,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20150,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20150,013307708289,4,Edge protector 2in,SKU-1027,C-09-03
WO-20150,013159703760,3,Marker black (12),SKU-1023,E-05-11
WO-20150,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20150,013048700375,6,Hand truck wheel,SKU-1020,B-02-02
WO-20151,013233706021,12,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20151,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20151,013270707159,2,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20151,012863694722,6,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20151,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20152,013122702639,4,Barcode scanner holster,SKU-1022,D-04-04
WO-20152,013011699248,12,Dunnage air pillows,SKU-1019,A-01-07
WO-20152,012863694722,12,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20152,013344709416,4,Strapping buckle (1000),SKU-1028,D-01-10
WO-20152,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20152,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20153,013344709416,6,Strapping buckle (1000),SKU-1028,D-01-10
WO-20153,012641687946,3,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20153,012382680039,12,Red widget 12-pack,SKU-1002,B-02-08
WO-20154,013159703760,12,Marker black (12),SKU-1023,E-05-11
WO-20154,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20155,012419681169,12,Packing tape 48mm,SKU-1003,C-03-03
WO-20155,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20155,012530684551,4,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20155,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20155,012863694722,2,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20156,013381710543,2,Desiccant pack (50),SKU-1029,E-02-05
WO-20156,012752691337,4,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20156,012345678905,1,Blue widget 12-pack,SKU-1001,A-01-01
WO-20156,012826693595,3,Box cutter,SKU-1014,B-05-08
WO-20156,012382680039,2,Red widget 12-pack,SKU-1002,B-02-08
WO-20156,012789692468,1,Safety glasses clear,SKU-1013,A-04-01
WO-20156,012937696980,3,Void fill paper roll,SKU-1017,E-08-05
WO-20156,013418711673,1,Fragile tape 2in,SKU-1030,F-03-12
WO-20157,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20157,012493683424,6,Cable ties 8in (100),SKU-1005,E-05-05
WO-20157,013381710543,6,Desiccant pack (50),SKU-1029,E-02-05
WO-20157,012382680039,1,Red widget 12-pack,SKU-1002,B-02-08
WO-20157,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20157,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20158,012567685682,12,Bubble mailer #2,SKU-1007,A-07-07
WO-20158,013307708289,4,Edge protector 2in,SKU-1027,C-09-03
WO-20158,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20158,012974698114,2,Pallet label sleeve,SKU-1018,F-09-12
WO-20158,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20159,012456682297,6,Stretch wrap 18in,SKU-1004,D-04-10
WO-20159,012382680039,1,Red widget 12-pack,SKU-1002,B-02-08
WO-20159,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
WO-20159,012826693595,6,Box cutter,SKU-1014,B-05-08
WO-20159,013085701502,12,Shelf label holder,SKU-1021,C-03-09
WO-20160,013085701502,12,Shelf label holder,SKU-1021,C-03-09
WO-20161,013159703760,1,Marker black (12),SKU-1023,E-05-11
WO-20161,012493683424,3,Cable ties 8in (100),SKU-1005,E-05-05
WO-20161,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20161,012826693595,4,Box cutter,SKU-1014,B-05-08
WO-20162,013122702639,3,Barcode scanner holster,SKU-1022,D-04-04
WO-20162,012419681169,1,Packing tape 48mm,SKU-1003,C-03-03
WO-20162,012937696980,12,Void fill paper roll,SKU-1017,E-08-05
WO-20163,012789692468,6,Safety glasses clear,SKU-1013,A-04-01
WO-20164,013085701502,4,Shelf label holder,SKU-1021,C-03-09
WO-20165,012641687946,3,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20165,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20165,012345678905,1,Blue widget 12-pack,SKU-1001,A-01-01
